PM1234;BFR-15;MS-1;1;15/01/2023;VS-1;2;16/01/2023;66.850000
PM5678;B1058;ES-1;3;10/02/2023;MS-2;4;12/02/2023;52.530000
PM9012;NG-3;JS-1;5;05/03/2023;ES-1;6;07/03/2023;501.340000
PM3456;OFT-2;MS-2;2;01/04/2023;JS-1;3;03/04/2023;267.380000
PM7890;MS-19;VS-1;1;03/05/2023;MS-1;2;04/05/2023;13.370000
PM4321;BFR-15;ES-1;4;07/06/2023;JS-1;5;09/06/2023;668.460000
PM8765;B1058;MS-1;3;11/07/2023;MS-2;4;13/07/2023;152.450000
PM2109;NG-3;VS-1;2;15/08/2023;ES-1;3;17/08/2023;367.650000
PM6543;OFT-2;JS-1;1;19/09/2023;MS-1;2;21/09/2023;520.380000
PM0987;MS-19;MS-2;1;23/10/2023;VS-1;2;25/10/2023;133.690000
